ticker,title,publisher,link,publish_date,summary,type,related_tickers,category
^IXIC,"S&P 500 Closes at Record High, Oil Falls as Traders Parse Trump Comments",MT Newswires,https://finance.yahoo.com/news/p-500-closes-record-high-213627406.html,2025-01-23 14:36:27,No summary available.,STORY,"^GSPC, COMP",General
^IXIC,"How major US stock indexes fared Thursday, 1/23/2025",Associated Press,https://finance.yahoo.com/news/major-us-stock-indexes-fared-211814315.html,2025-01-23 14:18:14,No summary available.,STORY,"COMP, ^DJI, ^GSPC, ^RUT",General
^IXIC,"Stock market today: S&P 500 clinches first record close of 2025, Dow pops after Trump takes spotlight at Davos",Yahoo Finance,https://finance.yahoo.com/news/live/stock-market-today-sp-500-clinches-first-record-close-of-2025-dow-pops-after-trump-takes-spotlight-at-davos-210311077.html,2025-01-23 14:03:11,No summary available.,STORY,"ES=F, ^IXIC, ^DJI, NQ=F, ^GSPC, YM=F",General
^IXIC,Trump Comments Leave Equity Markets Mixed,MT Newswires,https://finance.yahoo.com/news/trump-comments-leave-equity-markets-205020322.html,2025-01-23 13:50:20,No summary available.,STORY,"COMP, ^GSPC, ^DJI",General
^IXIC,Trump Comments Leave Equities Mixed Intraday,MT Newswires,https://finance.yahoo.com/news/trump-comments-leave-equities-mixed-185441569.html,2025-01-23 11:54:41,No summary available.,STORY,"^GSPC, COMP",General
^DJI,"How major US stock indexes fared Thursday, 1/23/2025",Associated Press,https://finance.yahoo.com/news/major-us-stock-indexes-fared-211814315.html,2025-01-23 14:18:14,No summary available.,STORY,"COMP, ^DJI, ^GSPC, ^RUT",General
^DJI,"Stock market today: S&P 500 clinches first record close of 2025, Dow pops after Trump takes spotlight at Davos",Yahoo Finance,https://finance.yahoo.com/news/live/stock-market-today-sp-500-clinches-first-record-close-of-2025-dow-pops-after-trump-takes-spotlight-at-davos-210311077.html,2025-01-23 14:03:11,No summary available.,STORY,"ES=F, ^IXIC, ^DJI, NQ=F, ^GSPC, YM=F",General
^DJI,"Top Cryptocurrencies Fall; Bitcoin Drops Below $104,000 Level",MT Newswires,https://finance.yahoo.com/news/top-cryptocurrencies-fall-bitcoin-drops-210004065.html,2025-01-23 14:00:04,No summary available.,STORY,"^GSPC, ^DJI",General
^DJI,Trump Comments Leave Equity Markets Mixed,MT Newswires,https://finance.yahoo.com/news/trump-comments-leave-equity-markets-205020322.html,2025-01-23 13:50:20,No summary available.,STORY,"COMP, ^GSPC, ^DJI",General
^DJI,US Equity Indexes Mixed as Technology Slips Amid Gains in Treasury Yields,MT Newswires,https://finance.yahoo.com/news/us-equity-indexes-mixed-technology-182320372.html,2025-01-23 11:23:20,No summary available.,STORY,"COMP, ^GSPC, ^DJI",General
^RUT,"How major US stock indexes fared Thursday, 1/23/2025",Associated Press,https://finance.yahoo.com/news/major-us-stock-indexes-fared-211814315.html,2025-01-23 14:18:14,No summary available.,STORY,"COMP, ^DJI, ^GSPC, ^RUT",General
^RUT,Initial Claims Higher-Than-Estimates,Zacks,https://finance.yahoo.com/news/initial-claims-higher-estimates-155300236.html,2025-01-23 08:53:00,No summary available.,STORY,"^RUT, ^GSPC",General
^RUT,"Pre-Markets Seek Direction on Warmer Jobless Claims, Q4 Earnings",Zacks,https://finance.yahoo.com/news/pre-markets-seek-direction-warmer-153200988.html,2025-01-23 08:32:00,No summary available.,STORY,"^RUT, ^GSPC",General
^RUT,Should Vanguard Russell 2000 Value ETF (VTWV) Be on Your Investing Radar?,Zacks,https://finance.yahoo.com/news/vanguard-russell-2000-value-etf-112008096.html,2025-01-23 04:20:08,No summary available.,STORY,^RUT,General
^GSPC,Asian Shares Track Wall Street Optimism Before BOJ: Markets Wrap,Bloomberg,https://finance.yahoo.com/news/asian-shares-ride-wall-street-224004019.html,2025-01-23 17:16:41,No summary available.,STORY,^GSPC,General
^GSPC,Why Prologis Stock Was a Winner on Thursday,Motley Fool,https://finance.yahoo.com/m/3eaea4ff-1238-3bd0-84c5-ef7aedf91b70/why-prologis-stock-was-a.html,2025-01-23 16:01:43,No summary available.,STORY,"PLD, ^GSPC",General
^GSPC,BRF (BRFS) Stock Falls Amid Market Uptick: What Investors Need to Know,Zacks,https://finance.yahoo.com/news/brf-brfs-stock-falls-amid-230024316.html,2025-01-23 16:00:24,No summary available.,STORY,"^GSPC, BRFS",General
^GSPC,Cloudflare (NET) Rises Higher Than Market: Key Facts,Zacks,https://finance.yahoo.com/news/cloudflare-net-rises-higher-market-230024297.html,2025-01-23 16:00:24,No summary available.,STORY,"NET, ^GSPC",General
^GSPC,Monday.com (MNDY) Stock Drops Despite Market Gains: Important Facts to Note,Zacks,https://finance.yahoo.com/news/monday-com-mndy-stock-drops-230023207.html,2025-01-23 16:00:23,No summary available.,STORY,"^GSPC, MNDY",General
^GSPC,Cadence Design Systems (CDNS) Outperforms Broader Market: What You Need to Know,Zacks,https://finance.yahoo.com/news/cadence-design-systems-cdns-outperforms-230022774.html,2025-01-23 16:00:22,No summary available.,STORY,"CDNS, ^GSPC",General
^GSPC,Gold Fields (GFI) Gains But Lags Market: What You Should Know,Zacks,https://finance.yahoo.com/news/gold-fields-gfi-gains-lags-230021576.html,2025-01-23 16:00:21,No summary available.,STORY,"GFI, ^GSPC",General
AAPL,"Update: Epic Games Takes on Google, Apple With Third-Party Games on Company's Own App Marketplace",MT Newswires,https://finance.yahoo.com/news/epic-games-takes-google-apple-224128923.html,2025-01-23 15:41:28,No summary available.,STORY,"AAPL, GOOG",Tech
AAPL,Former Apple Executive Asks $25.5 Million for San Francisco Apartment,The Wall Street Journal,https://finance.yahoo.com/m/d6ad7585-fc9b-3f5f-9207-11c2c3f75d3c/former-apple-executive-asks.html,2025-01-23 15:00:00,No summary available.,STORY,AAPL,Tech
AAPL,Trump opens a divide between US and EU over Big Tech,Yahoo Finance,https://finance.yahoo.com/news/trump-opens-a-divide-between-us-and-eu-over-big-tech-213413056.html,2025-01-23 14:34:13,No summary available.,STORY,"GOOG, META, MSFT, AAPL, AMZN",Tech
AAPL,"Apple Poised for Largely In-Line First-Quarter Revenue, Morgan Stanley Says",MT Newswires,https://finance.yahoo.com/news/apple-poised-largely-line-first-204840044.html,2025-01-23 13:48:40,No summary available.,STORY,AAPL,Tech
AAPL,"As Apple Earnings Near, More Investors Think the iPhone Maker’s Stock Is Primed to Fall",Barrons.com,https://finance.yahoo.com/m/6ec2f756-d24d-3154-a494-c4f23da4bd4f/as-apple-earnings-near%2C-more.html,2025-01-23 13:24:00,No summary available.,STORY,AAPL,Tech
AAPL,Is Apple Inc. (AAPL) Among Billionaire Dan Loeb’s Top Stock Picks?,Insider Monkey,https://finance.yahoo.com/news/apple-inc-aapl-among-billionaire-195410392.html,2025-01-23 12:54:10,No summary available.,STORY,"AAPL, TPNTF",Tech
AAPL,"Epic Games Takes on Google, Apple With Third-Party Games on Company's Own App Marketplace",MT Newswires,https://finance.yahoo.com/news/epic-games-takes-google-apple-194817735.html,2025-01-23 12:48:17,No summary available.,STORY,"GOOG, AAPL",Tech
AAPL,"India Urges Apple, Google to Host Government App Suite Amid Resistance",GuruFocus.com,https://finance.yahoo.com/news/india-urges-apple-google-host-185435371.html,2025-01-23 11:54:35,No summary available.,STORY,"GOOG, AAPL",Tech
GOOGL,"Update: Epic Games Takes on Google, Apple With Third-Party Games on Company's Own App Marketplace",MT Newswires,https://finance.yahoo.com/news/epic-games-takes-google-apple-224128923.html,2025-01-23 15:41:28,No summary available.,STORY,"AAPL, GOOG",Tech
GOOGL,Trump opens a divide between US and EU over Big Tech,Yahoo Finance,https://finance.yahoo.com/news/trump-opens-a-divide-between-us-and-eu-over-big-tech-213413056.html,2025-01-23 14:34:13,No summary available.,STORY,"GOOG, META, MSFT, AAPL, AMZN",Tech
