ticker,title,summary,publisher,link,publish_date,type,related_tickers,overall_sentiment_score,overall_sentiment_label
,Pender Growth Fund Provides Financial Highlights and Company Updates,"VANCOUVER, British Columbia, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- ( TSXV: PTF ) Pender Growth Fund Inc. ( the ""Company"" ) today announced its financial and operational results for the three months and nine months ended September 30, 2024.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985697/0/en/Pender-Growth-Fund-Provides-Financial-Highlights-and-Company-Updates.html,20241121T234900,"[{'topic': 'Earnings', 'relevance_score': '0.769861'}, {'topic': 'Economy - Monetary', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.999922'}]",,0.216293,Somewhat-Bullish
"IMRN, JWCTF","Immuron CEO, Steven Lydeamore presentation to 21st Virtual Investor Summit Microcap Event","MELBOURNE, Australia, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Immuron Limited ( ASX: IMC. NASDAQ: IMRN ) is pleased to advise our Chief Executive Officer, Steven Lydeamore presented early this morning at the 21st Virtual Investor Summit Microcap Event ( November 21, US Eastern Time ) .",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985695/37134/en/Immuron-CEO-Steven-Lydeamore-presentation-to-21st-Virtual-Investor-Summit-Microcap-Event.html,20241121T233300,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]","IMRN, JWCTF",0.031053,Neutral
"MORN, WXXWY, SZIHF, WUXAY","Chinese biotech firms brace for Trump tariffs, US funding bill","Efforts to expand sales of high-value products in China and non-US markets would cushion the blow, analysts say.",South China Morning Post,https://www.scmp.com/news/china-future-tech/biomedicine/article/3287492/chinese-biotech-firms-brace-profit-hit-trump-tariffs-us-funding-bill,20241121T233007,"[{'topic': 'Earnings', 'relevance_score': '0.684621'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.538269'}]","MORN, WXXWY, SZIHF, WUXAY",0.113892,Neutral
,Know Your Missiles: Russia's Experimental Hypersonic Missile Is A New Kind of Killing Machine,"A Russian missile strike near Dnipro shows off a new, highly maneuverable weapon that sends a signal to the West.",Decrypt.co,https://decrypt.co/292954/know-your-missiles-russias-experimental-hypersonic-missile-a-new-kind-of-killing-machine,20241121T231801,"[{'topic': 'Financial Markets', 'relevance_score': '0.158519'}]",,-0.122848,Neutral
"BENF, FFWM",Beneficient Reports to Kansas Legislative Committee on Its Positive Developments and the Digital Transformation of the Alternative Asset Industry,today provided an update to a Kansas legislators about its business operations and related economic development for the benefit of the state's communities.,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985693/0/en/Beneficient-Reports-to-Kansas-Legislative-Committee-on-Its-Positive-Developments-and-the-Digital-Transformation-of-the-Alternative-Asset-Industry.html,20241121T231500,"[{'topic': 'Earnings', 'relevance_score': '0.310843'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.891286'}]","BENF, FFWM",0.174836,Somewhat-Bullish
"META, ROYIF, TMC","ROSEN, A TOP RANKED LAW FIRM, Encourages TMC the metals company Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action - TMC - TMC Metals  ( NASDAQ:TMC ) ","NEW YORK, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of TMC the metals company Inc. TMC between May 12, 2023 and March 25, 2024, both dates inclusive ( the ""Class Period"" ) , of the important January 7, 2025 ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126813/rosen-a-top-ranked-law-firm-encourages-tmc-the-metals-company-inc-investors-to-secure-counsel-befo,20241121T231038,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]","META, ROYIF, TMC",0.108087,Neutral
,River Valley Community Bancorp Announces Director Retirements,"YUBA CITY, Calif., Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- River Valley Community Bancorp ( OTC markets: RVCB ) with its wholly owned subsidiary, River Valley Community Bank ( collectively referred to as the ""Bank"" ) , today announced upcoming retirements for Directors John I. Jelavich and Joseph M.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126784/river-valley-community-bancorp-announces-director-retirements,20241121T230748,"[{'topic': 'Financial Markets', 'relevance_score': '0.796627'}]",,0.302846,Somewhat-Bullish
"TD, META","ROSEN, TOP RANKED GLOBAL COUNSEL, Encourages The Toronto-Dominion Bank Investors to Secure Counsel Before Important Deadline in Securities Class Action - TD - Toronto-Dominion Bank  ( NYSE:TD ) ","NEW YORK, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of securities of The Toronto-Dominion Bank TD between February 29, 2024 and October 9, 2024, both dates inclusive ( the ""Class Period"" ) , of the important December 23, ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126783/rosen-top-ranked-global-counsel-encourages-the-toronto-dominion-bank-investors-to-secure-counsel-b,20241121T230732,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]","TD, META",0.154302,Somewhat-Bullish
META,"ROSEN, A LEADING NATIONAL FIRM, Encourages Midnight Hub Investors to Secure Counsel Before Important Deadline in Securities Class Action","NEW YORK, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of ROOMS non-fungible tokens ( ""NFTs"" ) and Digital Nomads NFTs issued by Midnight Hub between January 15, 2023 and March 31, 2024, both dates inclusive ( the ""Class ...",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126780/rosen-a-leading-national-firm-encourages-midnight-hub-investors-to-secure-counsel-before-important,20241121T230723,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]",META,0.166042,Somewhat-Bullish
,River Valley Community Bancorp Announces Director Retirements,"YUBA CITY, Calif., Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- River Valley Community Bancorp ( OTC markets: RVCB ) with its wholly owned subsidiary, River Valley Community Bank ( collectively referred to as the ""Bank"" ) , today announced upcoming retirements for Directors John I. Jelavich and Joseph M.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985689/0/en/River-Valley-Community-Bancorp-Announces-Director-Retirements.html,20241121T230700,"[{'topic': 'Financial Markets', 'relevance_score': '0.360215'}]",,0.311191,Somewhat-Bullish
"ACB, TLRY, CGC","German Cannabis: 20 Tons, 10M Grams - And That's Only 0.3% Of The Market, What's Missing? - Aurora Cannabis  ( NASDAQ:ACB ) , Canopy Gwth  ( NASDAQ:CGC ) ","Germany's medical cannabis imports reached 20.1 tons in Q3 2024, a substantial increase from previous quarters. This surge follows the April 2024 revision of the country's narcotics law, which has facilitated greater access to medical cannabis.",Benzinga,https://www.benzinga.com/general/market-summary/24/11/42126680/german-cannabis-20-tons-10m-grams-and-thats-only-0-3-of-the-market-whats-missing,20241121T230035,"[{'topic': 'Life Sciences', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.108179'}]","ACB, TLRY, CGC",0.258633,Somewhat-Bullish
"EVR, DE, C, GS, MS, BNXYF, FOREX:BRL, FOREX:USD",Deere  ( DE )  Q4 2024 Earnings Call Transcript,"DE earnings call for the period ending September 30, 2024.",Motley Fool,https://www.fool.com/earnings/call-transcripts/2024/11/21/deere-de-q4-2024-earnings-call-transcript/,20241121T230018,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]","EVR, DE, C, GS, MS, BNXYF, FOREX:BRL, FOREX:USD",0.246231,Somewhat-Bullish
"AMD, BABA, XIACY, BNXYF","China creates new AI advisory body, with Alibaba Cloud founder as chief expert",The AI Experts Committee is expected to promote China's perspective on how the fast-growing technology should be governed.,South China Morning Post,https://www.scmp.com/tech/tech-trends/article/3287593/wuzhen-summit-china-creates-ai-advisory-body-alibaba-cloud-founder-chief-expert,20241121T230009,"[{'topic': 'Manufacturing', 'relevance_score': '1.0'}]","AMD, BABA, XIACY, BNXYF",0.163256,Somewhat-Bullish
"CURN, META",Lumina Gold Announces Concession Extension Until 2049 - Lumina Gold  ( OTC:LMGDF ) ,"VANCOUVER, BC, Nov. 21, 2024 /PRNewswire/ - Lumina Gold Corp. LUM LMGDF ( the ""Company"" or ""Lumina"" ) is pleased to announce that the Ministry of Energy and Mines of Ecuador has extended the Los Cangrejos mining concession until 2049.",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42126669/lumina-gold-announces-concession-extension-until-2049,20241121T230000,"[{'topic': 'Technology', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.266143'}]","CURN, META",0.160796,Somewhat-Bullish
"CMG, META","ROSEN, A TOP-RANKED LAW FIRM, Encourages Chipotle Mexican Grill, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - CMG - Chipotle Mexican Grill  ( NYSE:CMG ) ","NEW YORK, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, announces it has filed a class action lawsuit on behalf of purchasers of common stock of Chipotle Mexican Grill, Inc.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126533/rosen-a-top-ranked-law-firm-encourages-chipotle-mexican-grill-inc-investors-to-secure-counsel-befo,20241121T225700,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Retail & Wholesale', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.875462'}]","CMG, META",0.180822,Somewhat-Bullish
"LYV, VVVNF, SEAT, GS, CEVMF, EB","Live Music Market to Expand by USD 35.56 Billion  ( 2024-2028 ) , Driven by Rising Demand for Experiences, AI Redefining the Market Landscape - Technavio","NEW YORK, Nov. 21, 2024 /PRNewswire/ -- Report with market evolution powered by AI - The global live music market size is estimated to grow by USD 35.56 billion from 2024-2028, according to Technavio. The market is estimated to grow at a CAGR of 17.38% during the forecast period.",Benzinga,https://www.benzinga.com/pressreleases/24/11/n42126519/live-music-market-to-expand-by-usd-35-56-billion-2024-2028-driven-by-rising-demand-for-experiences,20241121T225500,"[{'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Finance', 'relevance_score': '0.5'}]","LYV, VVVNF, SEAT, GS, CEVMF, EB",0.373735,Bullish
"HOOD, SCHW, CRYPTO:BTC","Charles Schwab Mulls Crypto Trading, Incoming CEO 'Feels Silly' for Not Buying In",Schwab's move into spot crypto trading signals a broader shift among traditional financial institutions adapting to investor demand.,Decrypt.co,https://decrypt.co/292957/charles-schwab-mulls-crypto-trading-incoming-ceo-feels-silly-for-not-buying-in,20241121T225351,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.158519'}, {'topic': 'Financial Markets', 'relevance_score': '0.744043'}]","HOOD, SCHW, CRYPTO:BTC",0.280022,Somewhat-Bullish
"MAPS, META","ROSEN, TOP RANKED GLOBAL COUNSEL, Encourages WM Technology, Inc. Investors to Secure Counsel Before Important Deadline in Securities Class Action First Filed by the Firm - MAPS - WM Tech  ( NASDAQ:MAPS ) ","NEW YORK, Nov. 22, 2024 ( GLOBE NEWSWIRE ) -- WHY: Rosen Law Firm, a global investor rights law firm, reminds purchasers of the securities of WM Technology, Inc.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126448/rosen-top-ranked-global-counsel-encourages-wm-technology-inc-investors-to-secure-counsel-before-im,20241121T224500,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}, {'topic': 'Financial Markets', 'relevance_score': '0.495866'}]","MAPS, META",0.148185,Neutral
,Carbon Streaming Announces Board and CEO Changes - Carbon Streaming  ( OTC:OFSTF ) ,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Carbon Streaming Corporation ( Cboe CA: NETZ ) OFSTF M2Q ( ""Carbon Streaming"" or the ""Company"" ) is pleased to announce the appointment of Mr. Marin Katusa as Chief Executive Officer ( ""CEO"" ) , effective November 25, 2024.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126395/carbon-streaming-announces-board-and-ceo-changes,20241121T223932,"[{'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",,0.191992,Somewhat-Bullish
,Carbon Streaming Announces Board and CEO Changes,"TORONTO, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Carbon Streaming Corporation ( Cboe CA: NETZ ) ( OTCQB: OFSTF ) ( FSE: M2Q ) ( ""Carbon Streaming"" or the ""Company"" ) is pleased to announce the appointment of Mr. Marin Katusa as Chief Executive Officer ( ""CEO"" ) , effective November 25, 2024.",GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985679/0/en/Carbon-Streaming-Announces-Board-and-CEO-Changes.html,20241121T223900,"[{'topic': 'Financial Markets', 'relevance_score': '0.495866'}]",,0.187474,Somewhat-Bullish
"META, ISPO","Inspirato Partners with BLADE Urban Air Mobility to Enhance Member Travel Experiences - Blade Air Mobility  ( NASDAQ:BLDE ) , Inspirato  ( NASDAQ:ISPO ) ","DENVER, Nov. 21, 2024 ( GLOBE NEWSWIRE ) -- Inspirato Incorporated ( ""Inspirato"" or the ""Company"" ) ISPO, the premier members-only luxury vacation club, announced a strategic partnership with BLADE Urban Air Mobility ( ""BLADE"" ) , a pioneering leader in short-distance aviation.",Benzinga,https://www.benzinga.com/pressreleases/24/11/g42126314/inspirato-partners-with-blade-urban-air-mobility-to-enhance-member-travel-experiences,20241121T223233,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","META, ISPO",0.462877,Bullish
"META, ISPO",Inspirato Partners with BLADE Urban Air Mobility to Enhance Member Travel Experiences,Inspirato members to receive exclusive access to BLADE's premium aviation services Inspirato members to receive exclusive access to BLADE's premium aviation services ...,GlobeNewswire,https://www.globenewswire.com/news-release/2024/11/21/2985678/0/en/Inspirato-Partners-with-BLADE-Urban-Air-Mobility-to-Enhance-Member-Travel-Experiences.html,20241121T223200,"[{'topic': 'Real Estate & Construction', 'relevance_score': '0.5'}, {'topic': 'Technology', 'relevance_score': '0.5'}]","META, ISPO",0.471524,Bullish
CRYPTO:BTC,Bitcoin Meme Coins Surge as BTC Rises Towards $100K,"Runes tokens are surging in price as BRC-20 tokens see ample trading, all while Bitcoin itself continues pushing to all-time highs.",Decrypt.co,https://decrypt.co/292953/bitcoin-meme-coins-surge-100k,20241121T223141,"[{'topic': 'Blockchain', 'relevance_score': '0.310843'}, {'topic': 'Financial Markets', 'relevance_score': '0.365926'}]",CRYPTO:BTC,0.318031,Somewhat-Bullish
